"NAME","state","SDLEA","B19013..Median.Household.Income.in.the.Past.12.Months..in.2015.Inflation.Adjusted.Dollars...Median.household.income.in.the.past.12.months..in.2015.Inflation.adjusted.dollars."
"Ashburnham-Westminster School District, Massachusetts",25,"02040",88048
"Ashland School District, Massachusetts",25,"02100",102911
"Athol-Royalston School District, Massachusetts",25,"02160",49097
"Attleboro School District, Massachusetts",25,"02190",67736
"Auburn School District, Massachusetts",25,"02220",72432
"Avon School District, Massachusetts",25,"02250",76065
"Barnstable School District, Massachusetts",25,"02310",59711
"Bedford School District, Massachusetts",25,"02400",113729
"Belchertown School District, Massachusetts",25,"02430",76881
"Bellingham School District, Massachusetts",25,"02460",88460
"Belmont School District, Massachusetts",25,"02490",110685
"Berkshire Hills School District, Massachusetts",25,"02530",56493
"Beverly School District, Massachusetts",25,"02640",72837
"Billerica School District, Massachusetts",25,"02670",96316
"Blackstone-Millville School District, Massachusetts",25,"02715",74196
"Boston School District, Massachusetts",25,"02790",55777
"Bourne School District, Massachusetts",25,"02820",69157
"Braintree School District, Massachusetts",25,"02940",84776
"Bridgewater-Raynham School District, Massachusetts",25,"03030",84134
"Brockton School District, Massachusetts",25,"03090",47557
"Brookline School District, Massachusetts",25,"03150",95518
"Burlington School District, Massachusetts",25,"03240",94518
"Cambridge School District, Massachusetts",25,"03270",79416
"Canton School District, Massachusetts",25,"03300",95045
"Carver School District, Massachusetts",25,"03360",74375
"Central Berkshire School District, Massachusetts",25,"03390",57259
"Chelmsford School District, Massachusetts",25,"03510",95290
"Chelsea School District, Massachusetts",25,"03540",47733
"Chicopee School District, Massachusetts",25,"03660",47684
"Clinton School District, Massachusetts",25,"03750",62805
"Cohasset School District, Massachusetts",25,"03780",113843
"Danvers School District, Massachusetts",25,"03990",77949
"Dartmouth School District, Massachusetts",25,"04020",68265
"Dedham School District, Massachusetts",25,"04050",83438
"Dennis-Yarmouth School District, Massachusetts",25,"04140",56302
"Dighton-Rehoboth School District, Massachusetts",25,"04200",87519
"Douglas School District, Massachusetts",25,"04230",85313
"Dracut School District, Massachusetts",25,"04320",77848
"Dudley-Charlton Regional School District, Massachusetts",25,"04360",75011
"Duxbury School District, Massachusetts",25,"04410",120267
"East Bridgewater School District, Massachusetts",25,"04440",84118
"East Longmeadow School District, Massachusetts",25,"04500",81655
"Easthampton School District, Massachusetts",25,"04590",56527
"Easton School District, Massachusetts",25,"04620",96059
"Everett School District, Massachusetts",25,"04770",50762
"Fairhaven School District, Massachusetts",25,"04800",61274
"Fall River School District, Massachusetts",25,"04830",35213
"Falmouth School District, Massachusetts",25,"04860",66670
"Fitchburg School District, Massachusetts",25,"04890",48724
"Foxborough School District, Massachusetts",25,"04950",88766
"Framingham School District, Massachusetts",25,"04980",68219
"Franklin School District, Massachusetts",25,"05010",108272
"Freetown-Lakeville School District, Massachusetts",25,"05070",89195
"Gardner School District, Massachusetts",25,"05130",43905
"Gateway School District, Massachusetts",25,"05160",69148
"Georgetown School District, Massachusetts",25,"05220",107683
"Gill-Montague School District, Massachusetts",25,"05270",55306
"Gloucester School District, Massachusetts",25,"05280",61505
"Gosnold School District, Massachusetts",25,"05340",32292
"Grafton School District, Massachusetts",25,"05370",88712
"Granby School District, Massachusetts",25,"05400",86910
"Greenfield School District, Massachusetts",25,"05490",49612
"Groton-Dunstable School District, Massachusetts",25,"05500",117008
"Hadley School District, Massachusetts",25,"05580",65625
"Hamilton-Wenham School District, Massachusetts",25,"05670",109375
"Hampden-Wilbraham School District, Massachusetts",25,"05730",85823
"Hanover School District, Massachusetts",25,"05790",101823
"Harvard School District, Massachusetts",25,"05880",126061
"Hatfield School District, Massachusetts",25,"05940",65451
"Haverhill School District, Massachusetts",25,"05970",60888
"Hingham School District, Massachusetts",25,"06090",116187
"Holbrook School District, Massachusetts",25,"06150",66370
"Holliston School District, Massachusetts",25,"06240",108869
"Holyoke School District, Massachusetts",25,"06270",36608
"Hopedale School District, Massachusetts",25,"06300",95268
"Hopkinton School District, Massachusetts",25,"06330",138551
"Hudson School District, Massachusetts",25,"06390",75985
"Hull School District, Massachusetts",25,"06420",74391
"Ipswich School District, Massachusetts",25,"06480",76458
"Lawrence School District, Massachusetts",25,"06660",34852
"Lee School District, Massachusetts",25,"06690",60524
"Leicester School District, Massachusetts",25,"06720",69099
"Lenox School District, Massachusetts",25,"06750",49634
"Leominster School District, Massachusetts",25,"06780",58955
"Lexington School District, Massachusetts",25,"06840",149306
"Littleton School District, Massachusetts",25,"06960",111680
"Longmeadow School District, Massachusetts",25,"06990",111081
"Lowell School District, Massachusetts",25,"07020",48002
"Ludlow School District, Massachusetts",25,"07050",63548
"Lunenburg School District, Massachusetts",25,"07080",80572
"Lynn School District, Massachusetts",25,"07110",47429
"Lynnfield School District, Massachusetts",25,"07140",118828
"Malden School District, Massachusetts",25,"07170",54896
"Mansfield School District, Massachusetts",25,"07230",93019
"Marblehead School District, Massachusetts",25,"07260",102993
"Marlborough School District, Massachusetts",25,"07320",71790
"Marshfield School District, Massachusetts",25,"07350",84167
"Mashpee School District, Massachusetts",25,"07440",70313
"Maynard School District, Massachusetts",25,"07500",88333
"Medfield School District, Massachusetts",25,"07530",138036
"Medford School District, Massachusetts",25,"07560",76445
"Medway School District, Massachusetts",25,"07590",110241
"Melrose School District, Massachusetts",25,"07620",85521
"Mendon-Upton School District, Massachusetts",25,"07680",111820
"Methuen School District, Massachusetts",25,"07740",71392
"Middleborough School District, Massachusetts",25,"07770",76500
"Milford School District, Massachusetts",25,"07860",69741
"Millbury School District, Massachusetts",25,"07890",71151
"Millis School District, Massachusetts",25,"07920",92042
"Milton School District, Massachusetts",25,"07980",116444
"Mohawk Trail School District, Massachusetts",25,"07990",56302
"Monson School District, Massachusetts",25,"08040",67807
"Nantucket School District, Massachusetts",25,"08250",84057
"Narragansett School District, Massachusetts",25,"08280",66783
"Nashoba School District, Massachusetts",25,"08310",116136
"Natick School District, Massachusetts",25,"08340",100469
"Needham School District, Massachusetts",25,"08370",132237
"New Bedford School District, Massachusetts",25,"08430",37574
"Newburyport School District, Massachusetts",25,"08580",85556
"Newton School District, Massachusetts",25,"08610",122080
"North Adams School District, Massachusetts",25,"08670",38490
"North Andover School District, Massachusetts",25,"08700",100286
"North Attleborough School District, Massachusetts",25,"08730",81849
"North Brookfield School District, Massachusetts",25,"08760",68232
"North Middlesex School District, Massachusetts",25,"08790",80948
"North Reading School District, Massachusetts",25,"08820",123103
"Northampton School District, Massachusetts",25,"08850",59274
"Northbridge School District, Massachusetts",25,"08940",72550
"Norton School District, Massachusetts",25,"09000",91438
"Norwell School District, Massachusetts",25,"09030",111628
"Norwood School District, Massachusetts",25,"09060",80532
"Oxford School District, Massachusetts",25,"09270",66713
